Entity,Code,Day,p_proj_all_ages
Armenia,ARM,2023-10-31,11.638823
Armenia,ARM,2023-11-30,-0.068851404
Armenia,ARM,2023-12-31,-2.4917228
Aruba,ABW,2020-01-31,19.584053
Aruba,ABW,2020-02-29,-2.6086957
Aruba,ABW,2020-03-31,27.80656
Aruba,ABW,2020-04-30,1.1804397
Aruba,ABW,2020-05-31,-24.315619
Aruba,ABW,2020-06-30,15.606933
Aruba,ABW,2020-07-31,-13.761468
Aruba,ABW,2020-08-31,13.924052
Aruba,ABW,2020-09-30,59.844055
Aruba,ABW,2020-10-31,28.390598
Aruba,ABW,2020-11-30,-2.896083
Aruba,ABW,2020-12-31,-6.095553
Aruba,ABW,2021-01-31,19.507906
Aruba,ABW,2021-02-28,53.43915
Aruba,ABW,2021-03-31,40.105083
Aruba,ABW,2021-04-30,62.39316
Aruba,ABW,2021-05-31,12.561176
Aruba,ABW,2021-06-30,-11.937375
Aruba,ABW,2021-07-31,30.353815
Aruba,ABW,2021-08-31,120.18349
Aruba,ABW,2021-09-30,82.178215
Aruba,ABW,2021-10-31,70.642204
Aruba,ABW,2021-11-30,34.715023
Aruba,ABW,2021-12-31,11.8530855
Australia,AUS,2020-01-05,-1.3875775
Australia,AUS,2020-01-12,-2.0117497
Australia,AUS,2020-01-19,-0.6001533
Australia,AUS,2020-01-26,2.9834387
Australia,AUS,2020-02-02,0.6221915
Australia,AUS,2020-02-09,-0.39596182
Australia,AUS,2020-02-16,4.0150995
Australia,AUS,2020-02-23,2.8996215
Australia,AUS,2020-03-01,4.843635
Australia,AUS,2020-03-08,0.38170168
Australia,AUS,2020-03-15,1.8056238
Australia,AUS,2020-03-22,4.6087275
Australia,AUS,2020-03-29,5.6238627
Australia,AUS,2020-04-05,7.48163
Australia,AUS,2020-04-12,3.3098671
Australia,AUS,2020-04-19,1.3406956
Australia,AUS,2020-04-26,0.42847726
Australia,AUS,2020-05-03,-1.1995583
Australia,AUS,2020-05-10,-0.80311507
